column_id,p,q
1,12,1
2,9,-7
3,-12,0
4,-6,-15
5,9,7
6,0,-4
7,3,-9
8,17,9
9,0,9
10,-13,-2
11,-14,0
12,11,-2
13,-12,-14
14,-14,-13
15,-4,1
16,-6,-10
17,-4,-1
18,-13,-3
19,15,2
20,-9,-2
21,11,8
22,2,1
23,-5,-11
24,-4,-6
25,10,-7
26,-3,0
27,-13,-12
28,-2,8
29,-1,-2
30,2,14
31,8,8
32,6,6
33,6,12
34,3,15
35,-13,-11
36,-2,10
37,1,4
38,-1,-1
39,10,10
40,-1,-5
41,17,11
42,8,6
43,14,4
44,-10,0
45,4,-5
46,12,3
47,8,-9
48,-7,-15
49,-6,2
50,12,9
51,-10,-9
52,-10,-12
53,2,12
54,5,-2
55,-2,-9
56,-8,-5
57,-12,1
58,3,9
59,3,-1
60,12,-4
61,2,-6
62,-15,-14
63,2,10
64,-16,-7
65,15,13
66,5,10
67,-5,-8
68,5,11
69,3,5
70,14,7
71,0,-3
72,-14,-14
73,-1,3
74,-4,-5
75,13,1
76,1,-5
77,-5,0
78,8,12
79,-2,3
80,2,11
81,-7,5
82,10,-3
83,-13,-8
84,8,4
85,-15,-7
86,1,-8
87,4,7
88,-5,9
89,-11,-8
90,6,-1
91,4,2
92,4,5
93,7,-4
94,4,14
95,-15,-6
96,-6,-4
97,6,-4
98,-5,-7
99,3,12
100,-7,-3
101,10,-4
102,3,10
103,-3,12
104,-13,-14
105,8,14
106,12,-1
107,-9,7
108,-3,-9
109,-7,2
110,7,-7
111,-14,-10
112,6,-5
113,4,0
114,-9,-4
115,5,-3
116,-3,-5
117,7,-9
118,-3,4
119,5,1
120,0,-1
121,10,-6
122,9,0
123,13,-3
124,-5,-2
125,-1,10
126,2,9
127,7,8
128,-14,-8
129,-7,-6
130,4,8
131,16,4
132,0,4
133,13,7
134,-4,-14
135,-8,-14
136,1,2
137,-9,2
138,13,14
139,-8,-6
140,1,7
141,-17,-6
142,-7,-11
143,12,4
144,-13,2
145,2,2
146,-4,-2
147,9,12
148,1,-12
149,-13,-1
150,10,-5
151,-4,-10
152,-11,-4
153,-8,8
154,8,-8
155,14,-1
156,9,-8
157,-3,-4
158,-6,1
159,-4,11
160,12,8
161,-11,-3
162,3,-5
163,12,-5
164,0,-2
165,4,12
166,9,9
167,-9,-8
168,9,8
169,-9,-9
170,5,-4
171,-16,-4
172,10,12
173,-15,-10
174,-12,-3
175,2,-9
176,8,5
177,1,-2
178,3,8
179,-3,-13
180,-16,-11
181,-3,-1
182,-12,2
183,-3,-12
184,3,-8
185,-8,-3
186,14,12
187,7,14
188,13,4
189,0,13
190,0,-5
191,-5,-6
192,-2,12
193,7,-3
194,-3,-2
195,2,-3
196,5,3
197,-10,-10
198,-5,7
199,-6,-6
200,11,1
201,12,-3
202,14,13
203,-4,3
204,-6,4
205,-8,2
206,5,0
207,13,16
208,-16,-5
209,-1,-7
210,10,-2
211,6,-7
212,-10,-6
213,-5,1
214,6,-3
215,-3,10
216,7,12
217,1,14
218,3,7
219,-8,4
220,-5,-1
221,8,-5
222,16,10
223,15,11
224,2,3
225,-15,-11
226,4,15
227,9,-4
228,7,-6
229,-4,6
230,2,7
231,-10,-2
232,10,3
233,-11,-2
234,0,3
235,1,10
236,3,1
237,15,12
238,6,-9
239,9,-3
240,2,-5
241,-11,-6
242,7,-1
243,-10,-11
244,-2,-10
245,3,-6
246,11,4
247,-4,-11
248,6,-6
249,-8,-4
250,1,0
251,-6,-8
252,8,15
253,3,13
254,-15,-9
255,-1,-12
256,-15,-5
257,8,13
258,-5,-12
259,4,-9
260,12,7
261,7,6
262,-7,-4
263,5,-1
264,-2,-4
265,5,-6
266,-12,-13
267,7,-5
268,-10,4
269,-12,-7
270,-5,-3
271,-1,7
272,-4,2
273,17,6
274,-4,8
275,7,-8
276,-1,4
277,-9,6
278,10,0
279,8,0
280,-1,-13
281,10,-8
282,13,13
283,6,-2
284,12,13
285,-15,-3
286,-12,-12
287,11,2
288,16,14
289,6,5
290,-17,-7
291,-6,8
292,13,5
293,-13,-4
294,-11,-9
295,16,13
296,-10,-8
297,-12,3
298,7,-2
299,10,2
300,-13,-5
301,13,3
302,6,11
303,16,6
304,-4,9
305,9,-5
306,0,7
307,-18,-7
308,9,-1
309,12,0
310,9,13
311,14,1
312,-8,1
313,-6,9
314,11,-6
315,0,-6
316,-7,3
317,3,-7
318,-14,-5
319,4,1
320,-1,-4
321,-6,10
322,11,15
323,0,-13
324,9,15
325,-5,6
326,6,10
327,-4,7
328,-10,1
329,12,12
330,-2,5
331,-9,-6
332,-17,-9
333,-11,-10
334,-14,-12
335,2,6
336,11,12
337,2,-8
338,1,-1
339,-1,12
340,12,5
341,-15,-2
342,-10,-5
343,16,11
344,-6,-9
345,-9,-3
346,2,-11
347,-2,-11
348,4,10
349,-2,-12
350,6,9
351,-8,-9
352,16,12
353,10,14
354,-11,-15
355,4,-10
356,11,11
357,4,13
358,11,6
359,9,14
360,14,5
361,-4,-3
362,-12,-8
363,-9,5
364,-2,6
365,-1,8
366,-5,-15
367,-2,-13
368,-6,-14
369,-8,3
370,13,8
371,-9,4
372,-2,0
373,-12,-9
374,4,9
375,9,-2
376,2,-12
377,3,4
378,12,6
379,-12,-5
380,15,14
381,3,-12
382,-6,0
383,11,0
384,5,-7
385,-6,-12
386,15,4
387,-7,-8
388,6,13
389,-2,-14
390,1,-10
391,-6,3
392,7,0
393,12,10
394,3,-11
395,-11,-11
396,6,4
397,-7,-12
398,14,8
399,-8,-16
400,-16,-13
401,-8,-11
402,10,16
403,-4,-8
404,11,9
405,2,8
406,-14,-11
407,0,-10
408,4,-8
409,-2,-1
410,1,-3
411,-5,-14
412,16,5
413,-2,-5
414,6,15
415,0,12
416,-7,-1
417,1,-11
418,9,6
419,-3,-8
420,-8,5
421,7,5
422,5,-9
423,-12,-6
424,2,-4
425,7,13
426,3,-3
427,-14,-4
428,13,10
429,9,5
430,-1,-6
431,-3,-7
432,8,-1
433,-4,-4
434,6,1
435,-14,-3
436,-8,-7
437,9,3
438,11,16
439,-2,-7
440,10,13
441,-11,-5
442,17,8
443,8,-4
444,-9,-1
445,6,2
446,-9,-5
447,2,0
448,15,15
449,-14,-2
450,-7,-2
451,6,14
452,-6,-3
453,9,16
454,-11,-1
455,-11,4
456,10,11
457,10,7
458,-5,5
459,-7,4
460,-7,-13
461,-10,5
462,10,8
463,3,14
464,-4,4
465,-3,3
466,6,8
467,-8,-12
468,8,3
469,13,0
470,-9,0
471,-16,-10
472,11,14
473,15,8
474,-6,-11
475,3,-4
476,8,7
477,4,-2
478,15,1
479,7,3
480,-13,-6
481,-8,0
482,7,10
483,-6,-1
484,-8,-1
485,1,-4
486,0,1
487,-2,1
488,-5,10
489,8,2
490,8,-2
491,-8,7
492,6,-8
493,14,9
494,14,15
495,-2,7
496,-3,11
497,-6,7
498,-1,11
499,0,10
500,-11,3
501,0,2
502,-1,9
503,5,12
504,6,3
505,-17,-5
506,-7,-5
507,-1,-11
508,10,1
509,9,1
510,7,4
511,-11,0
512,-6,6
513,-3,-10
514,-1,-9
515,4,-11
516,-16,-2
517,-5,8
518,15,7
519,2,-7
520,-9,-13
521,-11,2
522,4,-4
523,5,9
524,-14,-6
525,-9,-11
526,-5,-5
527,0,-8
528,1,6
529,-3,1
530,-4,-9
531,-1,1
532,11,-4
533,-8,-8
534,-2,4
535,-10,6
536,-1,5
537,-12,-11
538,4,-3
539,13,2
540,-3,-6
541,11,3
542,-13,0
543,-1,-3
544,-10,-3
545,0,11
546,0,6
547,11,10
548,-9,-7
549,-5,-4
550,3,0
551,-1,-8
552,-5,4
553,11,5
554,7,-10
555,8,1
556,5,5
557,-11,1
558,-7,-14
559,17,5
560,14,0
561,-2,9
562,4,-6
563,-12,-1
564,-15,-8
565,-13,-13
566,-9,1
567,13,9
568,2,-10
569,-3,9
570,10,15
571,-7,-7
572,9,-6
573,3,11
574,8,-3
575,-2,11
576,14,14
577,-12,-2
578,-10,-1
579,-2,-8
580,-10,-13
581,1,8
582,12,11
583,-16,-9
584,7,16
585,-11,-12
586,7,11
587,7,15
588,1,3
589,-2,-3
590,3,6
591,-5,2
592,-17,-11
593,-10,-4
594,-15,-1
595,-13,1
596,-4,-12
597,-4,5
598,-11,-7
599,5,4
600,-8,-2
601,7,9
602,-5,3
603,-9,-14
604,-3,-14
605,4,11
606,-9,-10
607,8,10
608,4,6
609,2,-2
610,-14,-9
611,-8,-10
612,-10,-16
613,6,-10
614,-2,-6
615,3,-10
616,10,5
617,-7,-10
618,13,11
619,-6,-13
620,-7,8
621,11,13
622,15,5
623,5,8
624,-10,-7
625,14,10
626,1,-9
627,-1,0
628,0,0
629,8,16
630,0,8
631,12,14
632,-13,-7
633,-11,-13
634,-5,-10
635,-9,3
636,3,3
637,-14,-7
638,4,3
639,13,6
640,-7,-9
641,5,-10
642,-1,-10
643,1,13
644,15,3
645,17,10
646,2,15
647,0,-7
648,2,5
649,3,2
650,-10,-15
651,1,-6
652,0,-11
653,0,-12
654,7,1
655,-7,6
656,-6,-5
657,-11,-14
658,9,11
659,1,-7
660,12,16
661,10,4
662,-3,2
663,4,4
664,-15,-12
665,-8,6
666,-14,1
667,-15,-13
668,8,11
669,-12,-4
670,-3,8
671,-8,-15
672,13,-2
673,0,5
674,-3,-11
675,16,3
676,-8,-13
677,5,6
678,-7,0
679,5,13
680,13,12
681,-9,-12
682,-10,2
683,1,5
684,14,3
685,0,-9
686,-16,-6
687,4,-7
688,12,-2
689,11,7
690,5,-8
691,11,-7
692,16,8
693,15,10
694,-3,6
695,11,-1
696,10,6
697,-12,-10
698,-10,3
699,5,-5
700,2,13
701,-2,-2
702,16,7
703,3,-2
704,11,-3
705,-1,2
706,1,-13
707,14,11
708,-9,-16
709,-10,-14
710,-17,-8
711,10,9
712,13,-1
713,14,2
714,1,11
715,1,9
716,-7,1
717,-13,-9
718,17,7
719,12,15
720,15,6
721,1,12
722,-14,-1
723,-4,-7
724,-3,5
725,-9,-15
726,-16,-12
727,-4,10
728,-1,13
729,17,12
730,-7,7
731,10,-1
732,6,0
733,-4,-13
734,-2,2
735,-13,-10
736,8,-7
737,9,10
738,9,4
739,8,-6
740,-6,-2
741,-5,-9
742,9,2
743,-16,-3
744,16,9
745,6,7
746,4,-1
747,1,1
748,14,6
749,2,-1
750,-16,-8
751,2,4
752,5,2
753,15,9
754,-6,-7
755,5,14
756,5,15
757,-3,-3
758,-6,5
759,0,14
760,8,9
761,-5,-13
762,7,7
763,12,2
764,5,-11
765,7,2
766,-4,0
767,13,15
768,-1,6
769,-18,-9
770,-3,7
771,-17,-10
772,5,7
773,-15,-4
774,11,-5
775,6,16
776,5,16
777,4,16
778,8,17
779,7,17
780,18,7
781,18,8
782,18,9
783,18,10
784,18,11
785,18,12
786,17,13
787,11,17
788,10,17
789,-11,-16
790,-12,-15
791,-13,-15
792,-7,9
793,-11,5
794,-18,-8
795,-17,-4
796,9,17
